trasaction_type;goal;kind;number_rooms;number_bathrooms;number_parking_places;area;has_elevator;age;latitute;logitude;rent_value;sell_value
Venda;Comercial;loja;0;1;4;205;1;9;-18.88454;-48.318237;0;761401
Aluguel;Comercial;loja;0;3;4;130;0;2;-18.959194;-48.223332;2272;0
Aluguel;Comercial;sala comercial;0;3;3;163;1;5;-18.910245;-48.234338;2174;0
Venda;Comercial;sala comercial;0;1;2;243;1;7;-18.962586;-48.219998;0;242915
Venda;Comercial;loja;0;1;4;209;1;6;-18.950022;-48.286817;0;126138
Venda;Residencial;apartamento;4;3;3;109;0;3;-18.951472;-48.278736;0;227093
Aluguel;Residencial;apartamento;2;3;1;94;0;8;-18.941856;-48.270189;1197;0
Venda;Residencial;apartamento;3;3;4;129;0;3;-18.940025;-48.280316;0;138703
Venda;Residencial;casa de condomínio;1;2;3;179;1;7;-18.95246;-48.279572;0;273934
Venda;Comercial;galpão;0;2;2;190;0;5;-18.935631;-48.243793;0;700904
Venda;Residencial;apartamento;3;1;3;83;1;6;-18.898413;-48.265952;0;730365
Venda;Residencial;casa;1;2;1;116;0;9;-18.884267;-48.221756;0;203551
Aluguel;Residencial;casa de condomínio;2;2;1;107;1;5;-18.951207;-48.265941;1524;0
Aluguel;Residencial;casa de condomínio;3;3;3;140;0;3;-18.957156;-48.303767;2101;0
Venda;Comercial;loja;0;3;2;119;0;4;-18.924184;-48.262406;0;171357
Venda;Residencial;apartamento;3;2;2;114;0;2;-18.947531;-48.221885;0;196032
Aluguel;Residencial;casa;1;2;4;243;0;1;-18.921364;-48.245218;1709;0
Aluguel;Residencial;casa;2;3;4;249;1;0;-18.907723;-48.309468;1141;0
Venda;Comercial;loja;0;3;2;92;1;2;-18.923729;-48.24063;0;611979
Venda;Comercial;galpão;0;3;1;145;0;4;-18.908082;-48.269718;0;389508
Venda;Residencial;apartamento;2;2;1;218;0;1;-18.929338;-48.259501;0;311767
Venda;Residencial;casa de condomínio;3;3;4;125;1;0;-18.948124;-48.331605;0;737097
Venda;Comercial;sala comercial;0;3;1;170;1;6;-18.90509;-48.249632;0;135559
Venda;Comercial;sala comercial;0;2;4;138;0;3;-18.905892;-48.243269;0;762410
Venda;Residencial;casa;3;1;1;88;1;4;-18.897988;-48.28335;0;430962
Aluguel;Comercial;galpão;0;1;3;161;1;0;-18.942118;-48.331563;1471;0
Venda;Residencial;casa;3;2;1;114;0;3;-18.942704;-48.284794;0;266019
Venda;Comercial;loja;0;3;4;239;1;6;-18.963713;-48.294723;0;756773
Aluguel;Comercial;galpão;0;2;4;151;1;2;-18.897176;-48.288147;888;0
Venda;Residencial;apartamento;1;3;1;199;0;8;-18.95697;-48.223124;0;705203
Venda;Residencial;apartamento;2;1;4;159;1;4;-18.941307;-48.264322;0;465818
Venda;Comercial;sala comercial;0;1;2;200;1;0;-18.965882;-48.246134;0;714130
Venda;Residencial;casa de condomínio;3;2;3;224;0;5;-18.922285;-48.300816;0;125778
Venda;Residencial;casa de condomínio;4;1;1;235;0;5;-18.964173;-48.252903;0;408699
Venda;Comercial;sala comercial;0;1;3;105;1;6;-18.89995;-48.269774;0;722552
Aluguel;Comercial;galpão;0;2;3;203;1;2;-18.888412;-48.285135;2399;0
Venda;Residencial;apartamento;3;3;3;91;1;6;-18.935749;-48.286157;0;746318
Aluguel;Comercial;galpão;0;2;2;186;0;9;-18.927713;-48.237613;1023;0
Venda;Comercial;loja;0;2;4;161;1;9;-18.929616;-48.298645;0;636558
Venda;Comercial;sala comercial;0;3;1;93;0;5;-18.889955;-48.275407;0;193742
Venda;Comercial;loja;0;2;4;189;1;1;-18.897802;-48.311761;0;707321
Venda;Comercial;loja;0;3;2;91;1;0;-18.929598;-48.313063;0;214056
Aluguel;Comercial;galpão;0;1;1;159;0;8;-18.956557;-48.272025;2560;0
Venda;Comercial;sala comercial;0;3;1;146;0;0;-18.886834;-48.249557;0;548512
Venda;Residencial;casa de condomínio;2;3;3;154;1;6;-18.8999;-48.307646;0;177138
Aluguel;Comercial;galpão;0;3;1;232;1;5;-18.931505;-48.275775;2322;0
Venda;Comercial;loja;0;3;3;240;1;4;-18.894234;-48.218162;0;469713
Venda;Residencial;casa;3;1;4;80;1;0;-18.931017;-48.258721;0;678110
Aluguel;Comercial;sala comercial;0;2;3;201;0;5;-18.89815;-48.232747;2038;0
Aluguel;Residencial;casa de condomínio;2;1;3;189;1;10;-18.954553;-48.30885;1838;0
Aluguel;Comercial;loja;0;2;3;172;0;5;-18.910464;-48.32077;829;0
Venda;Residencial;casa de condomínio;4;3;2;121;1;9;-18.940461;-48.236546;0;277776
Aluguel;Residencial;casa;4;3;4;105;0;6;-18.933332;-48.307071;2366;0
Aluguel;Residencial;casa de condomínio;1;2;4;246;1;6;-18.966494;-48.237192;2564;0
Venda;Comercial;galpão;0;2;2;97;1;1;-18.896113;-48.257984;0;142133
Venda;Residencial;apartamento;3;1;2;196;1;8;-18.916136;-48.276887;0;127913
Aluguel;Residencial;casa;1;1;2;158;1;0;-18.951167;-48.292237;1751;0
Venda;Comercial;galpão;0;2;3;107;0;3;-18.912903;-48.228343;0;333053
Aluguel;Comercial;sala comercial;0;2;4;244;0;8;-18.961992;-48.221774;2217;0
Venda;Comercial;sala comercial;0;1;4;87;0;6;-18.951206;-48.266385;0;251058
Aluguel;Comercial;galpão;0;2;2;97;1;0;-18.931547;-48.270395;915;0
Venda;Comercial;sala comercial;0;1;1;180;0;2;-18.894954;-48.248358;0;416231
Venda;Comercial;sala comercial;0;3;1;215;1;3;-18.926045;-48.216199;0;450049
Venda;Comercial;galpão;0;1;2;237;0;6;-18.939026;-48.250127;0;346719
Aluguel;Residencial;apartamento;4;1;3;206;1;0;-18.935315;-48.277273;2384;0
Aluguel;Comercial;loja;0;1;2;157;1;8;-18.923697;-48.256037;2651;0
Venda;Comercial;sala comercial;0;2;1;228;1;4;-18.921776;-48.268106;0;556117
Venda;Residencial;casa;2;3;1;81;0;8;-18.901054;-48.226201;0;524240
Venda;Comercial;galpão;0;3;2;232;0;5;-18.891315;-48.244198;0;588957
Venda;Residencial;casa de condomínio;3;1;4;119;1;10;-18.885262;-48.293941;0;247916
Venda;Comercial;galpão;0;2;1;190;0;4;-18.895379;-48.312235;0;227996
Aluguel;Residencial;casa de condomínio;1;1;3;223;0;0;-18.911772;-48.224426;1976;0
Venda;Residencial;casa de condomínio;4;1;1;241;1;5;-18.94358;-48.274003;0;301805
Aluguel;Residencial;apartamento;4;1;2;173;1;6;-18.893863;-48.25376;1835;0
Aluguel;Residencial;apartamento;3;3;1;153;0;7;-18.91323;-48.291402;1943;0
Aluguel;Comercial;galpão;0;1;2;181;0;7;-18.957773;-48.326524;2956;0
Venda;Residencial;apartamento;2;1;1;114;0;4;-18.966392;-48.218507;0;443916
Venda;Residencial;casa de condomínio;1;2;4;179;1;6;-18.90153;-48.302799;0;770890
Aluguel;Residencial;casa de condomínio;1;2;1;236;0;8;-18.929443;-48.314785;849;0
Venda;Residencial;casa de condomínio;1;3;3;172;0;3;-18.892118;-48.252558;0;734992
Venda;Residencial;casa de condomínio;1;2;1;102;1;5;-18.963733;-48.250269;0;196417
Venda;Comercial;sala comercial;0;1;3;135;1;9;-18.952085;-48.309092;0;704677
Aluguel;Comercial;galpão;0;1;1;200;1;8;-18.918709;-48.29822;2987;0
Aluguel;Comercial;galpão;0;2;1;148;1;8;-18.962183;-48.216238;1230;0
Venda;Comercial;loja;0;2;3;126;1;10;-18.943252;-48.269386;0;531388
Venda;Comercial;sala comercial;0;3;2;132;1;7;-18.948414;-48.264201;0;528186
Aluguel;Residencial;apartamento;1;2;4;168;0;1;-18.934505;-48.247282;2561;0
Venda;Residencial;apartamento;1;2;1;181;0;0;-18.895448;-48.293684;0;590153
Venda;Residencial;apartamento;3;2;4;245;1;1;-18.954143;-48.228513;0;544993
Aluguel;Residencial;casa;4;2;4;147;0;2;-18.963536;-48.310541;1866;0
Aluguel;Comercial;loja;0;1;2;196;1;4;-18.942255;-48.224465;2006;0
Aluguel;Comercial;sala comercial;0;2;4;141;1;8;-18.910887;-48.304811;1397;0
Venda;Comercial;galpão;0;3;1;247;1;9;-18.938642;-48.319287;0;697167
Aluguel;Residencial;casa;2;3;1;227;1;3;-18.94322;-48.28236;1498;0
Aluguel;Residencial;apartamento;2;2;2;142;1;0;-18.928679;-48.322184;2527;0
Aluguel;Comercial;loja;0;1;2;227;0;6;-18.91655;-48.276972;2648;0
Aluguel;Comercial;sala comercial;0;1;2;130;0;2;-18.967492;-48.247353;1136;0
Aluguel;Comercial;loja;0;3;1;169;0;10;-18.949108;-48.317016;2908;0
Aluguel;Comercial;loja;0;3;1;138;0;2;-18.902588;-48.2492;1274;0
Aluguel;Comercial;galpão;0;3;3;102;1;4;-18.907181;-48.259275;2525;0
Aluguel;Comercial;galpão;0;2;3;229;1;0;-18.93806;-48.315623;1312;0
Venda;Residencial;casa de condomínio;1;1;2;116;0;3;-18.920307;-48.32938;0;440801
Aluguel;Comercial;loja;0;1;4;205;0;3;-18.909839;-48.312783;2731;0
Aluguel;Residencial;casa;2;3;3;148;0;7;-18.91987;-48.26454;1643;0
Venda;Comercial;sala comercial;0;3;4;113;0;10;-18.924502;-48.253621;0;161331
Venda;Residencial;casa;4;3;4;167;0;0;-18.902296;-48.300117;0;560886
Aluguel;Comercial;sala comercial;0;1;1;214;0;1;-18.924518;-48.264881;2515;0
Venda;Residencial;apartamento;4;1;2;204;0;10;-18.927967;-48.237596;0;348103
Aluguel;Comercial;sala comercial;0;2;3;222;1;5;-18.942588;-48.272407;1568;0
Venda;Comercial;sala comercial;0;1;3;160;1;0;-18.890145;-48.259012;0;426584
Aluguel;Residencial;casa;4;2;4;186;1;10;-18.889702;-48.292626;1658;0
Aluguel;Comercial;sala comercial;0;3;1;133;0;1;-18.921895;-48.293898;772;0
Aluguel;Residencial;casa;3;3;4;178;0;6;-18.910673;-48.255874;1108;0
Venda;Comercial;galpão;0;3;4;214;1;10;-18.95491;-48.277882;0;549301
Venda;Residencial;casa de condomínio;4;1;2;245;1;5;-18.951257;-48.267782;0;414771
Aluguel;Residencial;casa;2;1;2;226;1;0;-18.953187;-48.257533;2205;0
Aluguel;Comercial;loja;0;1;1;238;1;6;-18.947213;-48.256756;2542;0
Venda;Comercial;loja;0;2;2;173;0;9;-18.893556;-48.313431;0;222171
Aluguel;Residencial;casa de condomínio;1;1;1;203;1;8;-18.893483;-48.314587;1901;0
Aluguel;Comercial;sala comercial;0;3;4;159;0;4;-18.887302;-48.2818;2744;0
Aluguel;Residencial;casa de condomínio;1;1;2;218;0;0;-18.942391;-48.267714;1720;0
Aluguel;Comercial;sala comercial;0;1;2;194;1;1;-18.894018;-48.226574;2542;0
Venda;Comercial;galpão;0;2;2;162;0;5;-18.946638;-48.255487;0;313738
Aluguel;Residencial;apartamento;1;2;2;164;1;10;-18.888199;-48.26249;2510;0
Venda;Residencial;casa de condomínio;4;3;3;213;0;5;-18.956098;-48.287557;0;461264
Venda;Comercial;galpão;0;2;1;80;1;9;-18.959944;-48.274364;0;245558
Aluguel;Comercial;loja;0;3;2;236;0;10;-18.958967;-48.227281;1490;0
Venda;Residencial;casa;3;3;3;180;1;7;-18.949787;-48.235969;0;467814
Venda;Residencial;casa de condomínio;2;2;3;182;1;0;-18.890612;-48.268957;0;573453
Aluguel;Residencial;apartamento;3;2;4;233;1;10;-18.925162;-48.304979;2578;0
Aluguel;Residencial;apartamento;4;3;1;99;0;10;-18.905903;-48.306292;2910;0
Venda;Comercial;galpão;0;3;2;197;0;4;-18.917676;-48.327674;0;272188
Venda;Residencial;casa;4;3;2;187;1;1;-18.894562;-48.274159;0;551318
Venda;Comercial;galpão;0;1;3;228;0;8;-18.932523;-48.300861;0;594697
Venda;Residencial;apartamento;4;2;4;128;0;9;-18.900355;-48.295546;0;494521
Venda;Residencial;casa de condomínio;3;1;2;138;1;0;-18.931675;-48.231772;0;771184
Venda;Comercial;loja;0;1;1;229;0;8;-18.952943;-48.296373;0;227264
Aluguel;Residencial;casa;3;1;2;181;0;3;-18.89239;-48.274851;2586;0
Venda;Comercial;sala comercial;0;1;1;246;1;6;-18.951908;-48.268299;0;489962
Aluguel;Residencial;casa;2;3;2;232;0;1;-18.907834;-48.252806;1594;0
Venda;Comercial;loja;0;2;2;231;1;1;-18.912042;-48.324459;0;315805
Aluguel;Comercial;loja;0;1;3;175;1;3;-18.950591;-48.300655;1334;0
Venda;Comercial;loja;0;3;3;190;0;7;-18.909647;-48.291049;0;156017
Venda;Comercial;sala comercial;0;3;1;201;0;1;-18.958189;-48.311583;0;348794
Aluguel;Comercial;sala comercial;0;2;4;109;0;6;-18.88512;-48.281179;1337;0
Aluguel;Comercial;galpão;0;2;4;96;1;10;-18.936075;-48.269003;2184;0
Aluguel;Residencial;apartamento;2;2;2;86;1;9;-18.950157;-48.282334;2700;0
Aluguel;Residencial;casa;2;2;3;151;0;4;-18.925929;-48.268577;2977;0
Venda;Residencial;casa;2;3;3;246;0;6;-18.936702;-48.322701;0;634642
Venda;Comercial;galpão;0;2;3;184;0;9;-18.954239;-48.323191;0;442248
Aluguel;Comercial;sala comercial;0;2;2;147;0;9;-18.936925;-48.276462;712;0
Aluguel;Comercial;loja;0;1;3;203;1;5;-18.913594;-48.279204;2622;0
Aluguel;Residencial;casa;2;2;1;173;1;8;-18.892137;-48.302024;1366;0
Aluguel;Comercial;galpão;0;3;3;124;0;4;-18.910455;-48.259825;1575;0
Aluguel;Residencial;apartamento;4;1;3;80;1;2;-18.962332;-48.321825;1018;0
Venda;Residencial;casa de condomínio;4;2;2;111;1;2;-18.938074;-48.292562;0;420097
Venda;Residencial;casa;4;1;1;109;1;0;-18.956518;-48.246104;0;188487
Aluguel;Comercial;galpão;0;1;4;94;1;10;-18.931817;-48.245447;2850;0
Aluguel;Residencial;apartamento;4;2;1;221;0;5;-18.902808;-48.224037;2158;0
Venda;Residencial;casa de condomínio;2;1;3;199;0;8;-18.901826;-48.307285;0;744769
Aluguel;Residencial;casa de condomínio;2;1;2;194;0;1;-18.902708;-48.234944;1102;0
Venda;Comercial;loja;0;1;3;156;1;6;-18.915042;-48.270298;0;638856
Venda;Comercial;galpão;0;1;4;211;0;3;-18.964586;-48.313635;0;320645
Venda;Residencial;apartamento;3;3;3;139;1;2;-18.92751;-48.299723;0;212829
Venda;Comercial;sala comercial;0;1;2;106;0;0;-18.922676;-48.233616;0;376883
Venda;Comercial;loja;0;2;4;214;0;5;-18.927492;-48.2755;0;370464
Aluguel;Residencial;apartamento;1;2;4;243;0;10;-18.902824;-48.318234;974;0
Venda;Comercial;sala comercial;0;2;3;245;1;9;-18.896206;-48.216407;0;137535
Aluguel;Residencial;apartamento;3;2;1;173;0;9;-18.920678;-48.273279;676;0
Aluguel;Comercial;sala comercial;0;2;2;131;0;10;-18.888972;-48.281216;2453;0
Venda;Comercial;sala comercial;0;3;4;95;0;7;-18.95547;-48.231088;0;192912
Venda;Residencial;apartamento;1;1;3;166;0;0;-18.912113;-48.322011;0;721235
Venda;Comercial;galpão;0;2;3;239;1;7;-18.897945;-48.255853;0;202642
Aluguel;Comercial;loja;0;1;4;216;1;6;-18.912456;-48.325685;988;0
Venda;Comercial;sala comercial;0;1;1;225;1;5;-18.955805;-48.274283;0;543879
Venda;Comercial;sala comercial;0;1;3;204;1;0;-18.917616;-48.254194;0;681067
Venda;Comercial;galpão;0;2;4;106;1;6;-18.926454;-48.217202;0;327699
Venda;Comercial;galpão;0;1;3;167;1;6;-18.920716;-48.229986;0;735258
Venda;Comercial;galpão;0;1;2;190;0;6;-18.89603;-48.322242;0;339407
Aluguel;Comercial;sala comercial;0;2;1;138;0;7;-18.94853;-48.217575;1684;0
Aluguel;Residencial;apartamento;3;1;1;177;1;4;-18.946041;-48.312686;927;0
Venda;Residencial;apartamento;3;3;1;218;1;7;-18.957976;-48.227138;0;414109
Aluguel;Residencial;casa de condomínio;2;1;2;242;0;3;-18.902133;-48.299886;1833;0
Aluguel;Comercial;sala comercial;0;1;1;133;0;7;-18.900804;-48.300407;922;0
Aluguel;Comercial;galpão;0;2;2;234;0;9;-18.902183;-48.263505;2266;0
Aluguel;Comercial;sala comercial;0;2;3;174;1;2;-18.967387;-48.318152;1946;0
Venda;Comercial;galpão;0;2;3;91;0;6;-18.918838;-48.287909;0;195390
Aluguel;Residencial;casa de condomínio;3;3;3;124;0;3;-18.95609;-48.308464;2274;0
Venda;Residencial;casa;2;1;3;161;0;4;-18.941453;-48.296952;0;163659
Aluguel;Comercial;galpão;0;3;2;202;0;1;-18.892117;-48.284621;2513;0
Venda;Comercial;galpão;0;3;4;228;0;7;-18.904499;-48.272347;0;747669
Aluguel;Residencial;casa;4;1;3;160;1;7;-18.929596;-48.293074;1427;0
Venda;Comercial;loja;0;2;2;124;0;8;-18.931041;-48.244122;0;591915
Venda;Comercial;loja;0;3;4;100;1;1;-18.893412;-48.326844;0;228609
Venda;Residencial;casa de condomínio;4;2;4;142;1;10;-18.922964;-48.277032;0;741098
Aluguel;Comercial;loja;0;1;2;175;0;4;-18.96291;-48.248013;765;0
Venda;Comercial;sala comercial;0;2;2;110;0;1;-18.907176;-48.224901;0;513312
Aluguel;Comercial;galpão;0;3;3;211;1;1;-18.926801;-48.330124;2341;0
Venda;Comercial;loja;0;2;3;164;0;6;-18.954115;-48.299744;0;240218
Aluguel;Residencial;casa;3;1;1;217;1;10;-18.887901;-48.261667;2320;0
Aluguel;Comercial;sala comercial;0;2;1;102;0;2;-18.937661;-48.244539;1654;0
Aluguel;Comercial;galpão;0;1;3;227;1;4;-18.955149;-48.31652;1106;0
Venda;Comercial;loja;0;2;3;83;1;6;-18.931853;-48.269348;0;436184
Aluguel;Residencial;apartamento;1;3;1;109;1;2;-18.961847;-48.21621;922;0
Aluguel;Comercial;sala comercial;0;2;1;189;0;8;-18.938705;-48.256848;2234;0
Venda;Comercial;galpão;0;1;2;180;1;10;-18.89129;-48.25046;0;440538
Venda;Comercial;galpão;0;2;4;248;0;3;-18.899548;-48.258968;0;467619
Aluguel;Residencial;casa;1;2;2;100;1;6;-18.95851;-48.313651;2095;0
Aluguel;Comercial;sala comercial;0;2;4;235;0;6;-18.937412;-48.302389;2666;0
Aluguel;Residencial;apartamento;2;1;1;197;0;6;-18.947292;-48.257197;1166;0
Aluguel;Residencial;casa de condomínio;2;1;4;138;0;7;-18.901755;-48.331464;1427;0
Venda;Residencial;casa de condomínio;3;2;1;218;0;9;-18.918221;-48.297388;0;337077
Aluguel;Comercial;galpão;0;2;4;95;1;2;-18.955556;-48.305498;1710;0
Aluguel;Residencial;casa de condomínio;2;2;1;221;1;3;-18.904339;-48.240147;1169;0
Venda;Comercial;sala comercial;0;3;2;114;1;2;-18.903627;-48.290073;0;782750
Aluguel;Comercial;galpão;0;2;3;216;1;0;-18.907553;-48.324732;991;0
Aluguel;Residencial;casa;4;1;4;209;1;4;-18.901104;-48.258567;1903;0
Aluguel;Comercial;sala comercial;0;2;3;84;1;3;-18.926615;-48.288092;2038;0
Venda;Comercial;sala comercial;0;1;4;179;1;2;-18.918844;-48.229084;0;761672
Aluguel;Residencial;casa;2;1;1;240;0;4;-18.910207;-48.305557;2489;0
Aluguel;Residencial;apartamento;4;3;4;142;1;5;-18.945779;-48.25776;2282;0
Venda;Comercial;loja;0;2;4;201;1;4;-18.964894;-48.291161;0;167964
Aluguel;Comercial;loja;0;3;1;244;1;5;-18.911227;-48.246567;2734;0
Aluguel;Residencial;casa de condomínio;2;2;1;194;0;7;-18.954353;-48.273754;1794;0
Venda;Residencial;casa de condomínio;4;2;2;215;1;6;-18.941247;-48.22224;0;695947
Venda;Comercial;sala comercial;0;3;3;170;0;8;-18.898892;-48.251846;0;359228
Venda;Residencial;apartamento;1;3;2;190;1;6;-18.935642;-48.286616;0;426372
Venda;Residencial;apartamento;4;3;3;124;1;1;-18.941614;-48.246496;0;755769
Venda;Residencial;casa;4;1;3;177;1;1;-18.96488;-48.226257;0;569881
Venda;Residencial;casa;3;2;3;242;0;6;-18.891727;-48.218122;0;694617
Aluguel;Residencial;casa;3;3;3;140;1;9;-18.899778;-48.287084;2127;0
Aluguel;Comercial;loja;0;3;1;196;0;4;-18.957056;-48.248153;2438;0
Venda;Residencial;apartamento;3;2;4;125;0;1;-18.909096;-48.310482;0;483156
Aluguel;Comercial;sala comercial;0;2;4;162;0;8;-18.885051;-48.218283;2061;0
Aluguel;Comercial;galpão;0;1;1;246;0;7;-18.955334;-48.2756;1234;0
Venda;Residencial;casa de condomínio;4;1;3;125;0;9;-18.909103;-48.302767;0;289064
Venda;Residencial;casa de condomínio;1;3;3;155;0;8;-18.940639;-48.23744;0;512576
Aluguel;Comercial;galpão;0;1;1;225;0;3;-18.954403;-48.316723;1358;0
Venda;Comercial;sala comercial;0;1;3;185;1;0;-18.954315;-48.311266;0;304852
Venda;Residencial;casa;3;1;1;127;0;7;-18.941476;-48.28646;0;663384
Aluguel;Residencial;casa de condomínio;3;3;3;146;1;8;-18.918541;-48.303073;816;0
Aluguel;Residencial;apartamento;3;2;2;213;1;6;-18.946841;-48.330156;2947;0
Aluguel;Comercial;sala comercial;0;3;4;171;1;6;-18.92232;-48.291535;967;0
Venda;Comercial;loja;0;2;1;103;1;6;-18.90406;-48.266819;0;730165
Venda;Residencial;casa;3;3;2;121;0;9;-18.943315;-48.301954;0;212311
Aluguel;Residencial;casa;1;3;4;239;1;6;-18.901466;-48.237651;1574;0
Aluguel;Comercial;loja;0;2;3;134;0;0;-18.901311;-48.24558;1175;0
